"m.low","low","low"
0.288233614238817,-0.284951304887529,-0.255640414824951
0.310113546928803,-0.213287221427632,-0.186336055486938
0.332551987709271,-0.137058521143316,-0.11269838159585
0.355437514748174,-0.0567262384612382,-0.0351791873027576
0.37865699133541,0.0271865702814221,0.0457110731073435
0.402096225019983,0.114098744472992,0.129407334081731
0.425640551378679,0.203377609469731,0.215296512291976
0.449175097670665,0.294347948916434,0.302726356269044
0.472582947313287,0.386302473723543,0.391015694448053
0.495684169699358,0.4784959671844,0.479449006747052
0.500112164403197,0.435258246236673,0.438101015125796
0.49797075806443,0.346946760480819,0.353506176872586
0.49552384947921,0.259443736809171,0.26960930786596
0.492854337064579,0.17357651222834,0.187210100900899
0.49003727558713,0.090143981291728,0.10708287550082
0.487147977378096,0.00990660121890746,0.029966784674665
0.484262378675405,-0.0664242328144512,-0.0434446304706664
0.481456649878619,-0.138194987818465,-0.112512180114901
0.47880665469251,-0.204816527245962,-0.176657627581122
0.476387370563604,-0.265768216876725,-0.23536798828603
0.474272302480402,-0.320599605693296,-0.288197518725041
0.472532903317876,-0.368929834038412,-0.334767530913108
0.471238008250885,-0.410445058855184,-0.374764299598473
0.470453288693998,-0.444894305486626,-0.407935444687572
0.470240730294171,-0.472084248824691,-0.43408526143784
0.470658138969695,-0.491873485301908,-0.453069528117542
0.471758678601389,-0.504166874655388,-0.464790338546906
0.473590443645641,-0.508910502636833,-0.469191481393532
0.476196069615763,-0.506087742669803,-0.466254819034049
0.479612384052844,-0.495716779977126,-0.455998010129053
0.483870100273861,-0.477849814443414,-0.438473779967236
0.488993555841335,-0.452573990790182,-0.413770782985944
0.495000497345399,-0.420013931440802,-0.382015937015116
0.501901912726311,-0.380335584483963,-0.343377953861628
0.509701911993264,-0.333750961067087,-0.298071659940278
0.518397656812654,-0.280523235216312,-0.246362605135851
0.527979339040463,-0.220971622302931,-0.18857140541495
0.538430207845349,-0.155475443387261,-0.125077257931928
0.549726644576917,-0.0844768202481373,-0.0563201052288878
0.561838283890362,-0.00848152506455824,0.0171989972722102
0.57472817861057,0.0719423782583383,0.094919646455863
0.588353003720801,0.15616832648198,0.176226192256745
0.602663289416277,0.243517555659612,0.260454229603391
0.617603655410847,0.333267817607825,0.346899382747934
0.633112943837254,0.424664251921589,0.43482811678019
0.649123690165696,0.516931868585411,0.523490041158517
0.665554445164402,0.609287083716545,0.612129244026602
0.675657321362984,0.655912409983718,0.656865679382117
0.666189329690866,0.566537537876378,0.571252016876462
0.656863192546872,0.476941352023105,0.485322232418176
0.647832787800499,0.387998500006654,0.399921293315284
0.639188881989369,0.300565486517564,0.315879603823527
0.631016112016506,0.21548452414798,0.234016429437465
0.623394860105338,0.133570347655393,0.155126932048272
0.616401214414063,0.0555978332224545,0.0799699118568321
0.610106667070367,-0.0177086479699644,0.00925715766930335
0.604577775165136,-0.0856837846964148,-0.0563552393192429
0.59987583577635,-0.147727620094525,-0.116273432338692
0.596056590951078,-0.203309568278844,-0.169970195497332
0.593169969030039,-0.251970279313338,-0.216987236286033
0.591259865431743,-0.293321610620289,-0.256935677365466
0.590363964615027,-0.327045075211236,-0.28949504928069
0.590513604182913,-0.352889220991745,-0.314411217218143
0.591733681582415,-0.370666442941469,-0.331493711817237
0.59404260345272,-0.380249735491183,-0.340612940813131
0.59745227732309,-0.381569853438069,-0.341697722478767
0.601968145039637,-0.374613267861061,-0.334733504939571
0.607589256997853,-0.35942118477507,-0.319761523238006
0.614308385971893,-0.336089748956443,-0.296879008372069
0.622112179061155,-0.304771397009418,-0.266240412420883
0.630981346019744,-0.26567716758753,-0.2280594659745
0.640890881994767,-0.219079637861967,-0.182611752939715
0.651810322474497,-0.165316046966034,-0.130237385993635
0.663704028034747,-0.104791098853524,-0.0713433026949383
0.676531496264398,-0.0379789139839991,-0.0064046824589632
0.690247698032992,0.0345763779334551,0.0640349912862592
0.704803434995243,0.112261846844367,0.139365634993449
0.720145714808788,0.194399115175745,0.218914348100218
0.7362181396945,0.280250070050512,0.301951465571323
0.752961301830402,0.369025006984137,0.387698931837454
0.770313172545533,0.459893126169915,0.475340903148335
0.788209447799158,0.551995147451743,0.564036337256511
0.80658369011112,0.644457623504161,0.652933151724467
0.825366104829148,0.736407965206372,0.741182992309619
0.844443131598729,0.826972316212928,0.827939492853169
0.835126348064275,0.780133289016707,0.782939233739515
0.815199505517113,0.686170980569599,0.692638454918559
0.794150795572584,0.590950465261413,0.600962246158614
0.772047110569871,0.495244832646594,0.508656485197505
0.748951788733512,0.399820530442295,0.416463839601432
0.724929926256304,0.305422883652975,0.325109580490292
0.700048630707065,0.212760245573613,0.235286017787712
0.674376781804293,0.12248944142337,0.147638120215872
0.647984694028112,0.0352031872920622,0.0627509903843666
0.62094375396106,-0.0485800840171845,-0.0188603744211154
0.593326052796896,-0.128423702827314,-0.0967587432205014
0.565204022095374,-0.203977395454874,-0.170589571363909
0.536650077136958,-0.274979050501174,-0.240083145693362
0.507736270853473,-0.341253726550458,-0.305054045103323
0.478533960680582,-0.402710125793481,-0.365398120803773
0.449113490314086,-0.459334858047268,-0.421087299074901
0.419543888090672,-0.511184898189163,-0.472162587465075
0.389892583493114,-0.558378693428338,-0.518725719493363
0.360225143075815,-0.601086402755927,-0.560929900581394
