"test","sa3","sa4","sa5"
0.206666666666667,0.276775639754665,0.245546154807428,0.147788087406414
0.21,0.264048562044164,0.222521853350447,0.114908213691986
0.213333333333333,0.248537193007922,0.197329432893988,0.0810182419983283
0.216666666666667,0.230405365857896,0.170214209772766,0.0464183711000809
0.22,0.209844500659156,0.141440313259015,0.0114387986987388
0.223333333333333,0.18707160664174,0.111288164742045,0.0237386209457365
0.226666666666667,0.162327016430807,0.0800519253174163,0.0586295344454445
0.23,0.135871882346014,0.0480375420694269,0.0930135183447642
0.233333333333333,0.107985481316083,0.0155721438196419,0.126580223352487
0.236666666666667,0.0789624382973879,0.0171283629925056,0.159033058787809
0.24,0.0491103811406736,0.0495823277612848,0.190086021350919
0.243333333333333,0.0187548222578173,0.0815689404230123,0.219465626502951
0.246666666666667,0.0118817417733916,0.112763494436188,0.246913188247737
0.25,0.0422922564104114,0.142860428488166,0.272187057243174
0.253333333333333,0.0722800792355854,0.171565958977529,0.295064733300073
0.256666666666667,0.101506175585173,0.198600110953577,0.315344817548284
0.26,0.129660083181513,0.223699279451585,0.332848782029985
0.263333333333333,0.156444129207935,0.246618750325134,0.347422539316364
0.266666666666667,0.181575411043905,0.267135068394876,0.358937797617406
0.27,0.204788565243683,0.285048208761443,0.36729318917568
0.273333333333333,0.225838508387337,0.300183523669877,0.372415161912524
0.276666666666667,0.244503004085083,0.312393443633634,0.374258626456603
0.28,0.260585002027449,0.321558915312794,0.372807352867915
0.283333333333333,0.273914716265303,0.327590561739986,0.368074113579867
0.286666666666667,0.284351417847456,0.330429553418843,0.36010057131108
0.29,0.291784921675385,0.330048181739879,0.348956912934752
0.293333333333333,0.296136751316046,0.326450129108696,0.334741232523608
0.296666666666667,0.297360969193121,0.319670433162358,0.317578668999998
0.3,0.295444663243149,0.30977514544693,0.29762030600585
0.303333333333333,0.290408084822046,0.296860687923331,0.275041843768501
0.306666666666667,0.282304436376099,0.281052913640813,0.250042054907983
0.31,0.271219311129142,0.26250588085556,0.222841038419926
0.313333333333333,0.257269790759679,0.241400352783197,0.193678288831122
0.316666666666667,0.240603210730028,0.217942038117061,0.162810601970773
0.32,0.221395606587927,0.192359590627074,0.130509849690558
0.323333333333333,0.199849858255316,0.16490239027295,0.0970606967614798
0.326666666666667,0.17619355329766,0.135838135866407,0.0627585720918509
0.33,0.150676595283654,0.105450301547466,0.0279111349743575
0.333333333333333,0.123568592796041,0.0740356110790331,0.00727875872006905
0.336666666666667,0.0951560928451705,0.041902484873306,0.0422610426600723
0.34,0.0657398570041511,0.00939723669110523,0.0769232107418308
0.343333333333333,0.0356335323417332,0.0233153964982648,0.110911536544408
0.346666666666667,0.00522717142233399,0.0557137760147336,0.143924388909491
0.35,0.0254320122828821,0.0875785134309477,0.175670566444045
0.353333333333333,0.0556957982077675,0.118591563239163,0.205870381680204
0.356666666666667,0.0853788993671499,0.148449512464591,0.234257875055052
0.36,0.11416184657459,0.176861002938596,0.260583089201111
0.363333333333333,0.1417395974149,0.20354897994331,0.284614245700926
0.366666666666667,0.167820544978315,0.22825326057317,0.306139775303001
0.37,0.192129082304144,0.250733028207053,0.324970175201736
0.373333333333333,0.214408392228891,0.270769163571642,0.340939674129191
0.376666666666667,0.234423120896005,0.288166373119965,0.353907689500469
0.38,0.251961848315012,0.30275508872911,0.363760063349352
0.383333333333333,0.266839314562803,0.314393118264111,0.370410066007934
0.386666666666667,0.278898373139548,0.322967030126739,0.373799158643171
0.39,0.288011648972348,0.328393257945953,0.373897507932957
0.393333333333333,0.294082882766672,0.330618914483979,0.370704248360708
0.396666666666667,0.297047947148536,0.329622306752348,0.364247489827836
0.4,0.29687552369455,0.325413147285706,0.354584070517379
0.403333333333333,0.293567433618417,0.318032459504386,0.341799057176369
