"m.ei","ei","ei"
0,3.17547159586511e-243,0
0,4.10417920304105e-48,1.38040899889047e-84
0,1.3557179615426e-21,1.34612544177786e-36
5.8657661837139e-196,4.66516253671721e-13,2.60419687901337e-21
2.47713964827146e-120,3.33569127800519e-09,1.69121091296324e-14
2.91250200743377e-81,4.16333157113585e-07,7.57423209270797e-11
1.35369856611857e-58,7.99523924925829e-06,1.20265223735565e-08
2.44771198655533e-44,5.69388920065679e-05,3.30494430294299e-07
8.09033866632951e-35,0.000227172290643943,3.29356701737913e-06
3.65767344309788e-28,0.000629787911584033,1.74716544364523e-05
2.45442283174813e-23,0.00137045119650709,6.12208703353869e-05
9.93161322076187e-20,0.00251943046729492,0.00016125556230468
5.76447494569334e-17,0.00410018633037239,0.000346407335226531
8.38694693453928e-15,0.00609292096539058,0.000640343132691385
4.43836786208836e-13,0.00844546692835712,0.00105652630126107
1.10320129944506e-11,0.0110857433002879,0.00159649101333806
1.54213382267833e-10,0.0139327520544837,0.00225085991406299
1.38028071164948e-09,0.0169050221202129,0.00300195564412966
8.7010528719658e-09,0.0199264386793771,0.00382695354068642
